customer_id,cluster,segment_name
12346.0,0,Loyal Customers
12347.0,0,Loyal Customers
12348.0,0,Loyal Customers
12349.0,0,Loyal Customers
12350.0,1,At Risk / Lost
12351.0,1,At Risk / Lost
12352.0,0,Loyal Customers
12353.0,0,Loyal Customers
12354.0,1,At Risk / Lost
12355.0,0,Loyal Customers
12356.0,0,Loyal Customers
12357.0,0,Loyal Customers
12358.0,0,Loyal Customers
12359.0,0,Loyal Customers
12360.0,0,Loyal Customers
12361.0,0,Loyal Customers
12362.0,0,Loyal Customers
12363.0,0,Loyal Customers
12364.0,0,Loyal Customers
12365.0,1,At Risk / Lost
12366.0,1,At Risk / Lost
12367.0,1,At Risk / Lost
12368.0,1,At Risk / Lost
12369.0,0,Loyal Customers
12370.0,0,Loyal Customers
12371.0,0,Loyal Customers
12372.0,0,Loyal Customers
12373.0,0,Loyal Customers
12374.0,0,Loyal Customers
12375.0,0,Loyal Customers
12376.0,1,At Risk / Lost
12377.0,0,Loyal Customers
12378.0,0,Loyal Customers
12379.0,0,Loyal Customers
12380.0,0,Loyal Customers
12381.0,0,Loyal Customers
12383.0,0,Loyal Customers
12384.0,0,Loyal Customers
12385.0,1,At Risk / Lost
12386.0,1,At Risk / Lost
12387.0,1,At Risk / Lost
12388.0,0,Loyal Customers
12389.0,0,Loyal Customers
12390.0,1,At Risk / Lost
12391.0,0,Loyal Customers
12392.0,1,At Risk / Lost
12393.0,0,Loyal Customers
12394.0,0,Loyal Customers
12395.0,0,Loyal Customers
12396.0,1,At Risk / Lost
12397.0,0,Loyal Customers
12398.0,1,At Risk / Lost
12399.0,0,Loyal Customers
12400.0,1,At Risk / Lost
12401.0,1,At Risk / Lost
12402.0,0,Loyal Customers
12403.0,0,Loyal Customers
12404.0,1,At Risk / Lost
12405.0,1,At Risk / Lost
12406.0,0,Loyal Customers
12407.0,0,Loyal Customers
12408.0,0,Loyal Customers
12409.0,0,Loyal Customers
12410.0,0,Loyal Customers
12411.0,1,At Risk / Lost
12412.0,0,Loyal Customers
12413.0,0,Loyal Customers
12414.0,0,Loyal Customers
12415.0,3,Champions
12416.0,1,At Risk / Lost
12417.0,0,Loyal Customers
12418.0,0,Loyal Customers
12419.0,1,At Risk / Lost
12420.0,1,At Risk / Lost
12421.0,0,Loyal Customers
12422.0,0,Loyal Customers
12423.0,0,Loyal Customers
12424.0,0,Loyal Customers
12425.0,0,Loyal Customers
12426.0,0,Loyal Customers
12427.0,0,Loyal Customers
12428.0,0,Loyal Customers
12429.0,0,Loyal Customers
12430.0,1,At Risk / Lost
12431.0,0,Loyal Customers
12432.0,0,Loyal Customers
12433.0,0,Loyal Customers
12434.0,0,Loyal Customers
12435.0,0,Loyal Customers
12436.0,1,At Risk / Lost
12437.0,0,Loyal Customers
12438.0,0,Loyal Customers
12439.0,1,At Risk / Lost
12440.0,1,At Risk / Lost
12441.0,1,At Risk / Lost
12442.0,1,At Risk / Lost
12443.0,1,At Risk / Lost
12444.0,0,Loyal Customers
12445.0,0,Loyal Customers
12446.0,1,At Risk / Lost
12447.0,1,At Risk / Lost
12448.0,1,At Risk / Lost
12449.0,0,Loyal Customers
12450.0,0,Loyal Customers
12451.0,0,Loyal Customers
12452.0,1,At Risk / Lost
12453.0,1,At Risk / Lost
12454.0,0,Loyal Customers
12455.0,0,Loyal Customers
12456.0,0,Loyal Customers
12457.0,0,Loyal Customers
12458.0,0,Loyal Customers
12459.0,1,At Risk / Lost
12460.0,1,At Risk / Lost
12461.0,0,Loyal Customers
12462.0,0,Loyal Customers
12463.0,0,Loyal Customers
12464.0,0,Loyal Customers
12465.0,0,Loyal Customers
12466.0,1,At Risk / Lost
12467.0,1,At Risk / Lost
12468.0,0,Loyal Customers
12469.0,1,At Risk / Lost
12470.0,1,At Risk / Lost
12471.0,0,Loyal Customers
12472.0,0,Loyal Customers
12473.0,0,Loyal Customers
12474.0,0,Loyal Customers
12475.0,0,Loyal Customers
12476.0,0,Loyal Customers
12477.0,0,Loyal Customers
12478.0,1,At Risk / Lost
12479.0,1,At Risk / Lost
12480.0,0,Loyal Customers
12481.0,0,Loyal Customers
12482.0,1,At Risk / Lost
12483.0,0,Loyal Customers
12484.0,0,Loyal Customers
